  r      Radial Df
0.60000  -0.48147
1.80000  1.49964
3.00000  0.82792
4.20000  0.70755
5.40000  0.64650
6.60000  0.59723
7.80000  0.55596
9.00000  0.53344
10.20000  0.51500
11.40000  0.44278
12.60000  0.31654
13.80000  0.25008
15.00000  0.19685
16.20000  0.16624
17.40000  0.15157
18.60000  0.12706
19.80000  0.11681
21.00000  0.10262
22.20000  0.09186
23.40000  0.08200
24.60000  0.07730
25.80000  0.06959
27.00000  0.06166
28.20000  0.05533
29.40000  0.05188
30.60000  0.04717
31.80000  0.04223
33.00000  0.03738
34.20000  0.02072
35.40000  0.01059
36.60000  0.00698
37.80000  0.00512
39.00000  0.00414
40.20000  0.00272
41.40000  0.00177
42.60000  0.00102
43.80000  0.00064
45.00000  0.00038
46.20000  0.00011
47.40000  0.00000
48.60000  0.00000
49.80000  0.00000
51.00000  0.00000
52.20000  0.00000
53.40000  0.00000
54.60000  0.00000
55.80000  0.00000
57.00000  0.00000
